feature_preset,numpy_ols,ridge,rf,mlp,gbm
cal_temp_apptemp_lag1-7_roll7,,41122239.36516251,13108932.237917434,8879955.29711122,10623298.762093809
full,39872300.55698444,39972006.71265726,12265753.29252603,17427612.556216393,9098276.732459098
cal_temp_apptemp_lag1-7,44255984.61763791,44189561.9698192,12495152.13693551,9487838.06434208,11234954.773836523
cal_temp_lag1-7_roll7,41692247.72526305,41715136.54835568,13334314.082575992,9900628.730519367,11027505.093745252
cal_temp_lag1-7,,,14356032.02453653,1377535182.9213955,12940623.142789705
full_lag1-7-14_roll7-28,,,17154955.638132673,,
cal_temp_apptemp,,92817546.3607464,25605704.783426102,44306944.35121631,19492463.231291916
cal_temp,,99085751.35230345,,627337326.4594045,24428516.840317685
cal_temp_apptemp_lag1-7-14_roll7-28,,,,617965673.1814106,
